BroomeDryers,2/7/15 13:05,42042.55,1423314300,9,14,36%
BroomeWashers,2/7/15 13:05,42042.55,1423314300,11,14,21%
EndicottDryers,2/7/15 13:05,42042.55,1423314300,11,14,21%
EndicottWashers,2/7/15 13:05,42042.55,1423314300,5,14,64%
BroomeDryers,2/7/15 13:30,42042.56,1423315800,9,14,36%
BroomeWashers,2/7/15 13:30,42042.56,1423315800,11,14,21%
EndicottDryers,2/7/15 13:30,42042.56,1423315800,8,14,43%
EndicottWashers,2/7/15 13:30,42042.56,1423315800,10,14,29%
BroomeDryers,2/7/15 13:35,42042.57,1423316100,9,14,36%
BroomeWashers,2/7/15 13:35,42042.57,1423316100,12,14,14%
EndicottDryers,2/7/15 13:35,42042.57,1423316100,9,14,36%
EndicottWashers,2/7/15 13:35,42042.57,1423316100,11,14,21%
BroomeDryers,2/7/15 13:40,42042.57,1423316400,8,14,43%
BroomeWashers,2/7/15 13:40,42042.57,1423316400,8,14,43%
EndicottDryers,2/7/15 13:40,42042.57,1423316400,8,14,43%
EndicottWashers,2/7/15 13:40,42042.57,1423316400,12,14,14%
BroomeDryers,2/7/15 13:45,42042.57,1423316700,6,14,57%
BroomeWashers,2/7/15 13:45,42042.57,1423316700,8,14,43%
EndicottDryers,2/7/15 13:45,42042.57,1423316700,7,14,50%
EndicottWashers,2/7/15 13:45,42042.57,1423316700,12,14,14%
BroomeDryers,2/7/15 13:50,42042.58,1423317000,7,14,50%
BroomeWashers,2/7/15 13:50,42042.58,1423317000,9,14,36%
EndicottDryers,2/7/15 13:50,42042.58,1423317000,7,14,50%
EndicottWashers,2/7/15 13:50,42042.58,1423317000,9,14,36%
BroomeDryers,2/7/15 13:55,42042.58,1423317300,7,14,50%
BroomeWashers,2/7/15 13:55,42042.58,1423317300,7,14,50%
EndicottDryers,2/7/15 13:55,42042.58,1423317300,8,14,43%
EndicottWashers,2/7/15 13:55,42042.58,1423317300,11,14,21%
BroomeDryers,2/7/15 14:00,42042.58,1423317600,8,14,43%
